"施設名称","所在地","施設名かな","カテゴリ","分類","TEL","FAX","URL","URL2","バリアフリー情報","詳細情報","備考","経度","緯度","分類"
"伝法東公園　公衆トイレ","大阪市此花区伝法2丁目 11-7","でんぽうひがしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.455094500001","34.6877783000005","車いす対応公衆便所"
"伝法公園　公衆トイレ","大阪市此花区伝法3丁目 14-6","でんぽうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.451302100001","34.6887124000005","車いす対応公衆便所"
"朝日橋公園　公衆トイレ","大阪市此花区西九条6丁目 1-92","あさひばしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.462251000001","34.6815084000005","車いす対応公衆便所"
"千鳥橋みどり公園　公衆トイレ","大阪市此花区伝法1丁目 2-30","ちどりばしみどりこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.460498600001","34.6888139000005","車いす対応公衆便所"
"高見新家公園　公衆トイレ","大阪市此花区高見1丁目 2-117","たかみしんけこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.462931500001","34.6899078000005","車いす対応公衆便所"
"瓦屋町公園　公衆トイレ１","大阪市中央区瓦屋町2丁目 9-24","かわらやまちこうえん　こうしゅうといれ１","公衆トイレ","公衆便所","","","","","","","","135.5127017","34.6703934000003","公衆便所"
"松島公園　公衆トイレ１","大阪市西区千代崎1丁目 1-14","まつしまこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.481433600001","34.6767573000004","車いす対応公衆便所"
"松島公園　公衆トイレ２","大阪市西区千代崎1丁目 3-49","まつしまこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.480294300001","34.6769530000004","車いす対応公衆便所"
"九条北公園　公衆トイレ","大阪市西区九条南4丁目 19-10","くじょうきたこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.467534400001","34.6755704000005","車いす対応公衆便所"
"九条東公園　公衆トイレ","大阪市西区九条2丁目 19-4","くじょうひがしこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.472042400001","34.6755280000004","公衆便所"
"日吉公園　公衆トイレ","大阪市西区南堀江4丁目 9-14","ひよしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.484709300001","34.6708437000004","車いす対応公衆便所"
"島津公園　公衆トイレ","大阪市西区立売堀5丁目 4-33","しまづこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.485610100001","34.6796202000004","公衆便所"
"築港南公園　公衆トイレ","大阪市港区築港1丁目 2-53","ちっこうみなみこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.437279600001","34.6534818000006","車いす対応公衆便所"
"東田中公園　公衆トイレ","大阪市港区田中1丁目 1-3","ひがしたなかこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.451526400001","34.6651961000005","車いす対応公衆便所"
"天保山公園　公衆トイレ","大阪市港区築港3丁目 2-6","てんぽうざんこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.433039800001","34.6571448000006","車いす対応公衆便所"
"三先公園　公衆トイレ","大阪市港区三先2丁目 3-17","みさきこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.452208900001","34.6596445000005","車いす対応公衆便所"
"市岡元町公園　公衆トイレ","大阪市港区市岡元町3丁目 12-36","いちおかもとまちこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.464555800001","34.6674104000005","車いす対応公衆便所"
"磯路中央公園　公衆トイレ１","大阪市港区磯路2丁目 17-63","いそじちゅうおうこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.459863900001","34.6663528000005","車いす対応公衆便所"
"波除公園　公衆トイレ１","大阪市港区波除5丁目 12-32","なみよけこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.460141500001","34.6741834000005","車いす対応公衆便所"
"池島公園　公衆トイレ","大阪市港区池島2丁目 4-19","いけじまこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.451956300001","34.6567650000005","車いす対応公衆便所"
"夕凪公園　公衆トイレ","大阪市港区夕凪2丁目 6-6","ゆうなぎこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.452073200001","34.6627214700005","車いす対応公衆便所"
"入舟公園　公衆トイレ","大阪市港区八幡屋1丁目 4-1","いりふねこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.447868100001","34.6575297000005","公衆便所"
"市岡公園　公衆トイレ","大阪市港区市岡4丁目 6-8","いちおかこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.462130400001","34.6598152000005","公衆便所"
"泉尾公園　公衆トイレ１","大阪市大正区泉尾4丁目 21-33","いずおこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.468394100001","34.6559436000005","車いす対応公衆便所"
"泉尾公園　公衆トイレ２","大阪市大正区泉尾4丁目 21-63","いずおこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.468423100001","34.6577917000005","車いす対応公衆便所"
"鶴町中央公園　公衆トイレ","大阪市大正区鶴町2丁目 7-36","つるまちちゅうおうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.455868700001","34.6389186000005","車いす対応公衆便所"
"三軒家公園　公衆トイレ","大阪市大正区三軒家東2丁目 12-43","さんげんやこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.478523100001","34.6596796000004","公衆便所"
"鶴町南公園　公衆トイレ","大阪市大正区鶴町1丁目 19-43","つるまちみなみこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.455506200001","34.6361736000005","車いす対応公衆便所"
"南恩加島公園　公衆トイレ","大阪市大正区南恩加島1丁目 13-39","みなみおかじまこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.472161000001","34.6348210000005","車いす対応公衆便所"
"小林公園　公衆トイレ","大阪市大正区小林東2丁目 6-49","こばやしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.474502200001","34.6435467000005","車いす対応公衆便所"
"千島公園　公衆トイレ１","大阪市大正区千島2丁目 7-93","ちしまこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.472045100001","34.6493395000005","車いす対応公衆便所"
"千島公園　公衆トイレ２","大阪市大正区千島2丁目 7-114","ちしまこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.473971300001","34.6498886000004","車いす対応公衆便所"
"千島公園　公衆トイレ３","大阪市大正区千島2丁目 7-40","ちしまこうえん　こうしゅうといれ３","公衆トイレ","車いす対応公衆便所","","","","","","","","135.473765100001","34.6479099000004","車いす対応公衆便所"
"千島公園　公衆トイレ４","大阪市大正区千島2丁目 7-7","ちしまこうえん　こうしゅうといれ４","公衆トイレ","車いす対応公衆便所","","","","","","","","135.476306500001","34.6482421000004","車いす対応公衆便所"
"平尾公園　公衆トイレ","大阪市大正区平尾2丁目 22-25","ひらおこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.472968100001","34.6407696000004","車いす対応公衆便所"
"北村南公園　公衆トイレ","大阪市大正区北村3丁目 2-49","きたむらみなみこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.467297300001","34.6490461000005","車いす対応公衆便所"
"萩之茶屋中公園公衆トイレ","大阪市西成区萩之茶屋2-4","はぎのちゃやなかこうえんこうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　和：１","","135.5008543","34.6458814000003","公衆便所"
"萩之茶屋南公園公衆トイレ","大阪市西成区萩之茶屋3-7","はぎのちゃやみなみこうえんこうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　小：５　　男女兼用　和：３","","135.501289","34.6448773900004","公衆便所"
"萩之茶屋公衆トイレ","大阪市西成区萩之茶屋3-5","はぎのちゃやこうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　小：５　　男女兼用　和：３","","135.4990598","34.6452392800004","公衆便所"
"南天満公園　公衆トイレ２","大阪市北区天満4丁目 1-1","みなみてんまこうえん　こうしゅうといれ２","公衆トイレ","公衆便所","","","","","","","","135.5143827","34.6920583000003","公衆便所"
"中津公園　公衆トイレ","大阪市北区中津2丁目 8-92","なかつこうえんこうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.4983693","34.7147503000004","公衆便所"
"中之島西公園　公衆トイレ","大阪市北区中之島6丁目 3-5","なかのしまにしこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.483684600001","34.6864055000004","公衆便所"
"磯路中央公園　公衆トイレ２","大阪市港区磯路2丁目 17-28","いそじちゅうおうこうえん　こうしゅうといれ２","公衆トイレ","公衆便所","","","","","","","","135.458051600001","34.6650546000005","公衆便所"
"波除公園　公衆トイレ２","大阪市港区波除5丁目 5-26","なみよけこうえん　こうしゅうといれ２","公衆トイレ","公衆便所","","","","","","","","135.460869800001","34.6743725000005","公衆便所"
"真田山公園　公衆トイレ１","大阪市天王寺区餌差町６","さなだやまこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5281747","34.6705836000003","車いす対応公衆便所"
"真田山公園　公衆トイレ２","大阪市天王寺区真田山町５","さなだやまこうえん　こうしゅうといれ２","公衆トイレ","公衆便所","","","","","","","","135.527375","34.6697126000003","公衆便所"
"宰相山公園　公衆トイレ","大阪市天王寺区玉造本町14","さいしょうやまこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.5294993","34.6727003000003","公衆便所"
"芦原公園　公衆トイレ１","大阪市浪速区久保吉2丁目 1-55","あしはらこうえん　こうしゅうといれ１","公衆トイレ","公衆便所","","","","","","","","135.483103100001","34.6624508000004","公衆便所"
"芦原公園　公衆トイレ２","大阪市浪速区久保吉2丁目 1-30","あしはらこうえん　こうしゅうといれ２","公衆トイレ","公衆便所","","","","","","","","135.483838200001","34.6615353000004","公衆便所"
"浪速公園　公衆トイレ","大阪市浪速区塩草1丁目 1-14","なにわこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.493137100001","34.6619066000004","車いす対応公衆便所"
"恵美公園　公衆トイレ","大阪市浪速区恵美須西2丁目 13-43","えみこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.5020661","34.6537515000003","公衆便所"
"塩草公園　公衆トイレ","大阪市浪速区塩草2丁目 8-13","しおくさこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.492347500001","34.6590249000004","公衆便所"
"佃公園　公衆トイレ","大阪市西淀川区佃5丁目 7-14","つくだこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.434503800001","34.7111254000006","車いす対応公衆便所"
"北之町公園　公衆トイレ","大阪市西淀川区歌島3丁目 7-4","きたのちょうこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.461074000001","34.7135219000005","公衆便所"
"姫島公園　公衆トイレ","大阪市西淀川区姫島4丁目 14-21","ひめじまこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.452380700001","34.7045459000005","車いす対応公衆便所"
"中島公園　公衆トイレ１","大阪市西淀川区中島1丁目 22-83","なかじまこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.425165800001","34.7002802000006","車いす対応公衆便所"
"中島公園　公衆トイレ２","大阪市西淀川区中島1丁目 22-103","なかじまこうえん　こうしゅうといれ２","公衆トイレ","公衆便所","","","","","","","","135.427261800001","34.7000479000006","公衆便所"
"大和田北公園　公衆トイレ","大阪市西淀川区大和田5丁目 20-37","おおわだきたこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.444184700001","34.7082863000005","公衆便所"
"竹島西公園　公衆トイレ","大阪市西淀川区竹島5丁目 5-26","たけしまにしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.449039000001","34.7273308000005","車いす対応公衆便所"
"西姫島公園　公衆トイレ","大阪市西淀川区姫島6丁目 4-8","にしひめじまこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.446579200001","34.7013478000005","公衆便所"
"福町東公園　公衆トイレ","大阪市西淀川区福町1丁目 11-10","ふくまちひがしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.445341500001","34.6980165000005","車いす対応公衆便所"
"西淀公園　公衆トイレ","大阪市西淀川区大和田1丁目 1-48","にしよどこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.451241400001","34.7061034000005","車いす対応公衆便所"
"福町西公園　公衆トイレ","大阪市西淀川区福町2丁目 9-28","ふくまちにしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.443451000001","34.6970176000005","車いす対応公衆便所"
"新淀川公園　公衆トイレ","大阪市西淀川区百島1丁目 3-39","しんよどがわこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.438210700001","34.6943211000006","車いす対応公衆便所"
"大和田中央公園　公衆トイレ","大阪市西淀川区大和田4丁目 4-21","おおわだちゅうおうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.443292000001","34.7056880000006","車いす対応公衆便所"
"御幣島東公園　公衆トイレ","大阪市西淀川区御幣島3丁目 7-24","みてじまひがしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.457445200001","34.7177098000005","車いす対応公衆便所"
"矢倉緑地公園　公衆トイレ","大阪市西淀川区西島2-1","やぐらりょくちこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.418376600001","34.6877780000007","車いす対応公衆便所"
"佃ふれあい公園　公衆トイレ","大阪市西淀川区佃2丁目 1-42","つくだふれあいこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.448745900001","34.7139008000005","車いす対応公衆便所"
"十三公園　公衆トイレ１","大阪市淀川区十三元今里1丁目 1-6","じゅうそうこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.478211800001","34.7170560000004","車いす対応公衆便所"
"十三公園　公衆トイレ２","大阪市淀川区十三元今里1丁目 1-41","じゅうそうこうえん　こうしゅうといれ２","公衆トイレ","公衆便所","","","","","","","","135.476879800001","34.7172646000004","公衆便所"
"塚本公園　公衆トイレ","大阪市淀川区塚本4丁目 15-16","つかもとこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.468185200001","34.7157844000005","車いす対応公衆便所"
"三国本町公園　公衆トイレ","大阪市淀川区三国本町1丁目 12-6","みくにほんまちこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.487016900001","34.7310488000004","車いす対応公衆便所"
"十八条東公園　公衆トイレ","大阪市淀川区十八条1丁目 8-9","じゅうはちじょうひがしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.496354800001","34.7469558000004","車いす対応公衆便所"
"十八条中央公園　公衆トイレ","大阪市淀川区十八条2丁目 16-4","じゅうはちじょうちゅうおうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.489967800001","34.7481490000004","車いす対応公衆便所"
"北中島公園　公衆トイレ","大阪市淀川区宮原5丁目 7-3","きたなかじまこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.4952162","34.7376911000004","車いす対応公衆便所"
"加島中央公園　公衆トイレ","大阪市淀川区加島1丁目 58-24","かしまちゅうおうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.459516900001","34.7283338000005","車いす対応公衆便所"
"田川公園　公衆トイレ","大阪市淀川区田川3丁目 11-41","たがわこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.463699500001","34.7201021000005","公衆便所"
"野中南公園　公衆トイレ","大阪市淀川区野中南2丁目 1-24","のなかみなみこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.482690800001","34.7263813000004","車いす対応公衆便所"
"加島南公園　公衆トイレ","大阪市淀川区加島1丁目 34","かしまみなみこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.459190200001","34.7248276000005","車いす対応公衆便所"
"新高中央公園　公衆トイレ","大阪市淀川区新高4丁目 15-50","にいたかちゅうおうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.478018400001","34.7355347000004","車いす対応公衆便所"
"瑞光寺公園　公衆トイレ","大阪市東淀川区瑞光2丁目 2-37","ずいこうじこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.5384203","34.7493853000003","公衆便所"
"淡路公園　公衆トイレ","大阪市東淀川区淡路5丁目 14-9","あわじこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5157342","34.7426473000003","車いす対応公衆便所"
"豊里中央公園　公衆トイレ","大阪市東淀川区豊里5丁目 14-28","とよさとちゅうおうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5429302","34.7419464000002","車いす対応公衆便所"
"日之出公園　公衆トイレ","大阪市東淀川区西淡路1丁目 5-7","ひのでこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5034358","34.7369466000004","車いす対応公衆便所"
"井高野公園　公衆トイレ","大阪市東淀川区井高野3丁目 3-79","いたかのこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5439665","34.7650741000002","車いす対応公衆便所"
"西淡路公園　公衆トイレ","大阪市東淀川区西淡路3丁目 1-15","にしあわじこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5084363","34.7384990000003","車いす対応公衆便所"
"北江口中央公園　公衆トイレ","大阪市東淀川区北江口2丁目 1-53","きたえぐちちゅうおうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.544467","34.7579731000003","車いす対応公衆便所"
"淡路３公園　公衆トイレ","大阪市東淀川区淡路3丁目 13-56","あわじ３こうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5129018","34.7377811000003","車いす対応公衆便所"
"深江公園　公衆トイレ","大阪市東成区深江北2丁目 16-9","ふかえこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.5592145","34.6739174000002","公衆便所"
"神路公園　公衆トイレ","大阪市東成区東中本2丁目 12-37","かみじこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5477912","34.6777017000002","車いす対応公衆便所"
"東中本公園　公衆トイレ","大阪市東成区東中本3丁目 15-28","ひがしなかもとこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.5448787","34.6759047000002","公衆便所"
"東小橋公園　公衆トイレ","大阪市東成区東小橋2丁目 1-30","ひがしこはしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5328653","34.6696276000003","車いす対応公衆便所"
"東小橋北公園　公衆トイレ","大阪市東成区東小橋1丁目 9-12","ひがしこはしきたこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.533473","34.6731890000003","車いす対応公衆便所"
"東深江公園　公衆トイレ","大阪市東成区深江北3丁目 16-8","ひがしふかえこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5621445","34.6756794000002","車いす対応公衆便所"
"桃谷公園　公衆トイレ","大阪市生野区桃谷1丁目 2-53","ももだにこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.529721","34.6599940000003","車いす対応公衆便所"
"巽公園　公衆トイレ","大阪市生野区巽西1丁目 7-10","たつみこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5465341","34.6517826000002","車いす対応公衆便所"
"巽大地公園　公衆トイレ","大阪市生野区巽中3丁目 9-3","たつみだいちこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.5509086","34.6479306000002","公衆便所"
"巽東緑地　公衆トイレ","大阪市生野区巽東4丁目 11-47","たつみひがしりょくち　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5605801","34.6449069000002","車いす対応公衆便所"
"今津公園　公衆トイレ１","大阪市鶴見区今津中2丁目 3-54","いまづこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5696924","34.6913696000002","車いす対応公衆便所"
"今津公園　公衆トイレ２","大阪市鶴見区今津中2丁目 3-23","いまづこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.571079","34.6910590000002","車いす対応公衆便所"
"茨田大宮西公園　公衆トイレ","大阪市鶴見区茨田大宮2丁目 7-24","まったおおみやにしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5940156","34.7117231000002","車いす対応公衆便所"
"茨田大宮中央公園　公衆トイレ","大阪市鶴見区茨田大宮4丁目 23-45","まったおおみやちゅうおうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5981099","34.7124804000001","車いす対応公衆便所"
"鶴見中央公園　公衆トイレ","大阪市鶴見区鶴見1丁目 6-128","つるみちゅうおうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5656473","34.6976964000002","車いす対応公衆便所"
"長池公園　公衆トイレ","大阪市阿倍野区長池町14","ながいけこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5187337","34.6232056000003","車いす対応公衆便所"
"桃ヶ池公園　公衆トイレ","大阪市阿倍野区桃ケ池町1丁目 6-11","ももがいけこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5217554","34.6308307000003","車いす対応公衆便所"
"聖天山公園　公衆トイレ","大阪市阿倍野区松虫通3丁目 2-55","","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5039734","34.6359493000004","車いす対応公衆便所"
"中加賀屋公園　公衆トイレ","大阪市住之江区中加賀屋1丁目 5-5","なかかがやこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.481926800001","34.6194576000004","車いす対応公衆便所"
"浜口西公園　公衆トイレ","大阪市住之江区浜口西2丁目 6-14","はまぐちにしこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.483739100001","34.6106843000004","公衆便所"
"北加賀屋公園　公衆トイレ","大阪市住之江区北加賀屋5丁目 3-11","きたかがやこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.475823400001","34.6224068000004","公衆便所"
"新北島東公園　公衆トイレ","大阪市住之江区新北島3丁目 5-4","しんきたじまひがしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.469907300001","34.6070400000005","車いす対応公衆便所"
"浜口公園　公衆トイレ","大阪市住之江区浜口西3丁目 4-9","はまぐちこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.484145400001","34.6082400000004","車いす対応公衆便所"
"柴谷公園　公衆トイレ","大阪市住之江区柴谷2丁目 7-26","しばたにこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.465893200001","34.6172900000005","車いす対応公衆便所"
"敷津浦東公園　公衆トイレ","大阪市住之江区御崎7丁目 15-36","しきつうらひがしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.479335600001","34.6031075000004","車いす対応公衆便所"
"南港中央公園　公衆トイレ１","大阪市住之江区南港東8丁目 5-135","なんこうちゅうおうこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.431354800001","34.6317392000006","車いす対応公衆便所"
"南港中央公園　公衆トイレ２","大阪市住之江区南港東8丁目 5-18","なんこうちゅうおうこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.433101100001","34.6325249000006","車いす対応公衆便所"
"南港中央公園　公衆トイレ３","大阪市住之江区南港東8丁目 5-36","なんこうちゅうおうこうえん　こうしゅうといれ３","公衆トイレ","車いす対応公衆便所","","","","","","","","135.434529400001","34.6310384000006","車いす対応公衆便所"
"平林泉公園　公衆トイレ","大阪市住之江区泉２丁目 1","ひらばやしいずみこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.462162700001","34.6129806000005","車いす対応公衆便所"
"清水丘公園　公衆トイレ","大阪市住吉区清水丘2丁目 22-5","しみずがおかこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.491733000001","34.6023663000004","公衆便所"
"おりおの南公園　公衆トイレ","大阪市住吉区遠里小野7丁目 5-7","おりおのみなみこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.492707200001","34.5967373000004","公衆便所"
"万代池公園　公衆トイレ１","大阪市住吉区万代3丁目 7-82","まんだいいけこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5035234","34.6203802000004","車いす対応公衆便所"
"万代池公園　公衆トイレ２","大阪市住吉区万代3丁目 7-53","まんだいいけこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5010582","34.6200043000004","車いす対応公衆便所"
"沢之町公園　公衆トイレ","大阪市住吉区南住吉3丁目 15-29","さわのちょうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5015163","34.6038832000004","車いす対応公衆便所"
"山之内西公園　公衆トイレ","大阪市住吉区山之内5丁目 3-36","やまのうちにしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5005266","34.5890550000004","車いす対応公衆便所"
"浅香中央公園　公衆トイレ１","大阪市住吉区浅香1丁目 6-68","あさかちゅうおうこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5089423","34.5916315000003","車いす対応公衆便所"
"浅香中央公園　公衆トイレ２","大阪市住吉区浅香1丁目 6-20","あさかちゅうおうこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5101873","34.5907744000003","車いす対応公衆便所"
"万領中央公園　公衆トイレ","大阪市住吉区万代東3丁目 1-55","まんりょうちゅうおうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5042955","34.6164805000004","車いす対応公衆便所"
"育和公園　公衆トイレ","大阪市東住吉区杭全8丁目 8-31","いくわこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5423576","34.6328837000002","車いす対応公衆便所"
"平野白鷺公園　公衆トイレ１","大阪市東住吉区今川6丁目 7-54","ひらのしらさぎこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5422201","34.6277077000003","車いす対応公衆便所"
"平野白鷺公園　公衆トイレ２","大阪市東住吉区今川6丁目 8-27","ひらのしらさぎこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5419884","34.6264954000003","車いす対応公衆便所"
